Interaction_ID,Ticket_ID,Channel,Interaction_Date,Duration_Minutes,Messages_Exchanged,Bot_Handled,Transferred_To_Agent,Resolution_Achieved,Hold_Time_Minutes,Sentiment_Score,Duration_Tier,Sentiment_Tier
INT000001,TKT000001,Social Media,2023-11-27,9.4,5.0,0,0,1,,-0.86,Standard (5-15m),Negative
INT000002,TKT000002,Inbound Call,2024-12-16,22.2,,1,0,1,5.6,0.92,Extended (15-30m),Positive
INT000003,TKT000003,Social Media,2024-06-04,6.6,10.0,0,1,1,,0.04,Standard (5-15m),Neutral
INT000004,TKT000004,Inbound Call,2024-04-02,43.4,,1,1,1,9.4,0.68,Long (30m+),Positive
INT000005,TKT000005,Live Chat,2023-08-25,14.4,22.0,0,0,0,,-0.36,Standard (5-15m),Negative
INT000006,TKT000006,Live Chat,2024-03-09,6.6,22.0,1,1,1,,-0.37,Standard (5-15m),Negative
INT000007,TKT000007,Inbound Call,2022-01-18,24.6,,0,0,1,7.6,0.81,Extended (15-30m),Positive
INT000008,TKT000008,Live Chat,2023-10-23,23.7,4.0,0,0,1,,-0.77,Extended (15-30m),Negative
INT000009,TKT000009,Live Chat,2022-11-05,21.1,19.0,0,0,0,,-0.79,Extended (15-30m),Negative
INT000010,TKT000010,Live Chat,2023-04-02,22.7,11.0,1,0,0,,0.39,Extended (15-30m),Positive
INT000011,TKT000011,Outbound Call,2023-10-31,4.8,,0,0,1,8.8,-0.07,Quick (0-5m),Neutral
INT000012,TKT000012,Social Media,2024-07-26,6.6,4.0,0,0,1,,0.43,Standard (5-15m),Positive
INT000013,TKT000013,Social Media,2023-02-15,10.3,4.0,0,1,0,,-0.13,Standard (5-15m),Neutral
INT000014,TKT000014,Live Chat,2023-12-28,21.9,13.0,0,0,1,,-0.58,Extended (15-30m),Negative
INT000015,TKT000015,Live Chat,2022-11-09,15.3,17.0,0,0,1,,0.43,Extended (15-30m),Positive
INT000016,TKT000016,Social Media,2022-10-31,12.8,7.0,1,1,1,,-0.92,Standard (5-15m),Negative
INT000017,TKT000017,Outbound Call,2023-09-24,34.1,,0,0,1,9.6,-0.1,Long (30m+),Neutral
INT000018,TKT000018,Social Media,2022-07-26,4.7,4.0,0,0,0,,-0.08,Quick (0-5m),Neutral
INT000019,TKT000019,Live Chat,2024-12-28,28.4,24.0,1,0,0,,-0.84,Extended (15-30m),Negative
INT000020,TKT000020,Live Chat,2022-03-22,10.0,7.0,0,0,1,,-0.52,Standard (5-15m),Negative
INT000021,TKT000021,Live Chat,2023-12-15,25.9,9.0,0,0,0,,-0.48,Extended (15-30m),Negative
INT000022,TKT000022,Live Chat,2023-11-02,20.6,3.0,0,1,0,,0.79,Extended (15-30m),Positive
INT000023,TKT000023,Live Chat,2023-04-17,18.1,22.0,0,1,1,,0.03,Extended (15-30m),Neutral
INT000024,TKT000024,Inbound Call,2023-03-04,34.4,,0,0,1,3.3,0.34,Long (30m+),Positive
INT000025,TKT000025,Social Media,2023-09-13,14.4,5.0,0,0,1,,-0.89,Standard (5-15m),Negative
INT000026,TKT000026,Chatbot,2024-05-18,9.6,9.0,1,1,1,,-0.79,Standard (5-15m),Negative
INT000027,TKT000027,Outbound Call,2023-04-23,15.1,,0,0,1,5.5,0.13,Extended (15-30m),Neutral
INT000028,TKT000028,Inbound Call,2023-12-29,26.2,,0,0,1,3.7,0.67,Extended (15-30m),Positive
INT000029,TKT000029,Inbound Call,2022-10-09,18.1,,0,0,1,7.2,-0.89,Extended (15-30m),Negative
INT000030,TKT000030,Chatbot,2022-09-10,4.6,5.0,1,0,0,,0.97,Quick (0-5m),Positive
INT000031,TKT000031,Chatbot,2022-02-22,8.1,19.0,1,0,0,,0.77,Standard (5-15m),Positive
INT000032,TKT000032,Social Media,2023-03-04,4.0,7.0,0,1,1,,0.75,Quick (0-5m),Positive
INT000033,TKT000033,Social Media,2022-04-11,5.3,7.0,0,0,0,,-0.98,Standard (5-15m),Negative
INT000034,TKT000034,Email,2024-06-17,4.2,7.0,0,0,1,,-0.19,Quick (0-5m),Neutral
INT000035,TKT000035,Email,2023-02-11,1.0,3.0,0,0,1,,0.59,Quick (0-5m),Positive
INT000036,TKT000036,Social Media,2024-02-19,13.7,2.0,1,0,1,,0.52,Standard (5-15m),Positive
INT000037,TKT000037,Outbound Call,2022-09-13,19.6,,0,0,0,7.8,-0.31,Extended (15-30m),Negative
INT000038,TKT000038,Outbound Call,2022-12-25,7.8,,0,1,0,3.5,0.76,Standard (5-15m),Positive
INT000039,TKT000039,Inbound Call,2024-11-23,39.6,,0,1,1,2.2,0.27,Long (30m+),Neutral
INT000040,TKT000040,Inbound Call,2022-11-30,9.2,,0,0,1,1.9,0.99,Standard (5-15m),Positive
INT000041,TKT000041,Inbound Call,2022-09-04,34.8,,0,1,1,2.4,-0.33,Long (30m+),Negative
INT000042,TKT000042,Outbound Call,2024-01-04,15.3,,0,0,1,2.0,0.29,Extended (15-30m),Neutral
INT000043,TKT000043,Live Chat,2023-10-11,18.8,11.0,0,0,1,,-0.15,Extended (15-30m),Neutral
INT000044,TKT000044,Inbound Call,2023-01-27,30.2,,0,0,1,7.8,0.3,Long (30m+),Neutral
INT000045,TKT000045,Inbound Call,2022-07-05,19.6,,0,1,0,1.2,-0.48,Extended (15-30m),Negative
INT000046,TKT000046,Live Chat,2024-01-07,6.0,23.0,0,1,0,,-0.24,Standard (5-15m),Neutral
INT000047,TKT000047,Inbound Call,2023-06-07,11.3,,1,1,1,2.3,0.86,Standard (5-15m),Positive
INT000048,TKT000048,Live Chat,2022-08-18,6.1,12.0,1,0,0,,-0.42,Standard (5-15m),Negative
INT000049,TKT000049,Email,2022-02-03,1.6,5.0,1,0,1,,0.24,Quick (0-5m),Neutral
INT000050,TKT000050,Chatbot,2024-02-18,2.0,22.0,1,1,1,,0.84,Quick (0-5m),Positive
INT000051,TKT000051,Inbound Call,2024-03-30,16.6,,1,0,1,8.3,-0.04,Extended (15-30m),Neutral
INT000052,TKT000052,Inbound Call,2023-12-28,16.5,,0,0,1,2.6,0.39,Extended (15-30m),Positive
INT000053,TKT000053,Email,2023-09-27,0.8,2.0,0,1,1,,0.5,Quick (0-5m),Positive
INT000054,TKT000054,Outbound Call,2024-06-08,19.4,,0,1,0,0.9,0.09,Extended (15-30m),Neutral
INT000055,TKT000055,Social Media,2023-09-08,13.4,3.0,0,0,1,,-0.24,Standard (5-15m),Neutral
INT000056,TKT000056,Inbound Call,2022-06-22,18.0,,1,1,1,5.5,0.62,Extended (15-30m),Positive
INT000057,TKT000057,Live Chat,2024-03-09,10.9,12.0,1,0,1,,0.11,Standard (5-15m),Neutral
INT000058,TKT000058,Outbound Call,2022-02-02,23.6,,0,1,1,6.4,-0.77,Extended (15-30m),Negative
INT000059,TKT000059,Inbound Call,2023-10-25,40.7,,1,0,1,7.8,0.75,Long (30m+),Positive
INT000060,TKT000060,Outbound Call,2022-10-16,39.4,,0,0,1,4.7,-0.41,Long (30m+),Negative
INT000061,TKT000061,Live Chat,2022-12-30,14.6,11.0,1,1,1,,-0.01,Standard (5-15m),Neutral
INT000062,TKT000062,Live Chat,2022-01-19,17.9,23.0,0,1,0,,-0.57,Extended (15-30m),Negative
INT000063,TKT000063,Live Chat,2024-11-28,23.1,22.0,0,1,0,,-0.01,Extended (15-30m),Neutral
INT000064,TKT000064,Social Media,2022-10-15,8.8,7.0,0,0,0,,-0.74,Standard (5-15m),Negative
INT000065,TKT000065,Inbound Call,2024-08-20,6.7,,0,1,0,5.1,0.13,Standard (5-15m),Neutral
INT000066,TKT000066,Inbound Call,2022-05-06,35.7,,0,0,0,2.5,0.05,Long (30m+),Neutral
INT000067,TKT000067,Live Chat,2023-03-06,24.1,8.0,0,0,1,,0.64,Extended (15-30m),Positive
INT000068,TKT000068,Outbound Call,2023-08-24,41.4,,0,1,0,1.2,0.12,Long (30m+),Neutral
INT000069,TKT000069,Inbound Call,2024-04-29,18.0,,0,0,1,3.7,-0.18,Extended (15-30m),Neutral
INT000070,TKT000070,Outbound Call,2024-05-08,41.9,,0,1,1,7.5,-0.07,Long (30m+),Neutral
INT000071,TKT000071,Outbound Call,2022-12-24,34.5,,0,0,0,3.2,0.21,Long (30m+),Neutral
INT000072,TKT000072,Chatbot,2022-11-07,8.4,15.0,1,1,0,,0.68,Standard (5-15m),Positive
INT000073,TKT000073,Live Chat,2023-01-07,6.4,11.0,0,0,1,,-0.92,Standard (5-15m),Negative
INT000074,TKT000074,Email,2022-08-13,4.3,7.0,0,0,1,,0.85,Quick (0-5m),Positive
INT000075,TKT000075,Live Chat,2022-03-03,27.4,8.0,0,0,1,,-0.83,Extended (15-30m),Negative
INT000076,TKT000076,Live Chat,2023-02-22,22.9,13.0,0,0,1,,-0.31,Extended (15-30m),Negative
INT000077,TKT000077,Chatbot,2024-04-06,4.9,22.0,1,1,1,,-0.33,Quick (0-5m),Negative
INT000078,TKT000078,Inbound Call,2024-02-04,43.2,,1,0,1,5.8,0.06,Long (30m+),Neutral
INT000079,TKT000079,Outbound Call,2023-10-20,35.4,,1,1,0,1.6,-0.29,Long (30m+),Neutral
INT000080,TKT000080,Email,2022-02-22,2.9,7.0,1,0,0,,-0.56,Quick (0-5m),Negative
INT000081,TKT000081,Outbound Call,2022-02-28,38.5,,0,0,1,3.5,-0.51,Long (30m+),Negative
INT000082,TKT000082,Inbound Call,2022-03-12,30.7,,0,0,1,0.6,0.97,Long (30m+),Positive
INT000083,TKT000083,Inbound Call,2022-10-23,39.6,,0,0,0,3.5,0.67,Long (30m+),Positive
INT000084,TKT000084,Inbound Call,2022-04-06,17.1,,1,0,1,6.7,0.61,Extended (15-30m),Positive
INT000085,TKT000085,Chatbot,2024-02-12,5.8,9.0,1,1,1,,-0.16,Standard (5-15m),Neutral
INT000086,TKT000086,Chatbot,2024-12-11,4.2,22.0,1,1,1,,0.87,Quick (0-5m),Positive
INT000087,TKT000087,Inbound Call,2022-11-20,40.9,,0,0,1,8.2,-0.87,Long (30m+),Negative
INT000088,TKT000088,Outbound Call,2022-01-31,44.3,,0,0,0,1.8,-0.75,Long (30m+),Negative
