Ticket_ID,Customer_ID,Agent_ID,Channel,Issue_Type,Priority,Status,Created_Date,Created_Hour,Resolution_Time_Hours,SLA_Target_Hours,SLA_Breached,Escalated,First_Contact_Resolved,Satisfaction_Score,Repeat_Contact,Created_Year,Created_Month,Created_Quarter,SLA_Deviation_Hours,Resolution_Speed_Tier,Time_Of_Day,Satisfaction_Tier,Is_Resolved
TKT000001,CUST03981,AGT048,Social Media,Payment Failure,Medium,Resolved,2023-11-27,14,6.9,24,0,0,1,2.0,0,2023,11,4,-17.1,Within 8hrs,Afternoon (12-18),Poor,1
TKT000002,CUST02406,AGT049,Inbound Call,Statement Request,Medium,Closed,2024-12-16,22,17.1,24,0,0,1,2.7,1,2024,12,4,-6.9,Within 24hrs,Evening (18-24),Average,1
TKT000003,CUST01420,AGT098,Social Media,Account Locked,Medium,Escalated,2024-06-04,0,61.0,24,1,0,1,,0,2024,6,2,37.0,Beyond 48hrs,Night (0-6),,0
TKT000004,CUST02876,AGT091,Inbound Call,Transaction Dispute,Medium,Resolved,2024-04-02,18,19.3,24,0,1,1,4.2,0,2024,4,2,-4.7,Within 24hrs,Afternoon (12-18),Excellent,1
TKT000005,CUST00060,AGT058,Live Chat,Refund Request,Medium,Pending,2023-08-25,0,9.4,24,0,0,1,,0,2023,8,3,-14.6,Within 24hrs,Night (0-6),,0
TKT000006,CUST02525,AGT089,Live Chat,KYC Verification,Medium,Pending,2024-03-09,0,2.8,24,0,1,0,,1,2024,3,1,-21.2,Within 8hrs,Night (0-6),,0
TKT000007,CUST03798,AGT099,Inbound Call,Transaction Dispute,Low,Resolved,2022-01-18,7,133.0,48,1,0,1,1.1,0,2022,1,1,85.0,Beyond 48hrs,Morning (6-12),Poor,1
TKT000008,CUST02660,AGT073,Live Chat,Payment Failure,Medium,Escalated,2023-10-23,13,72.0,24,1,0,1,,1,2023,10,4,48.0,Beyond 48hrs,Afternoon (12-18),,0
TKT000009,CUST04097,AGT070,Live Chat,Transaction Dispute,Critical,Resolved,2022-11-05,8,1.3,2,0,0,1,3.8,0,2022,11,4,-0.7,Within 2hrs,Morning (6-12),Good,1
TKT000010,CUST01579,AGT061,Live Chat,Account Locked,Low,Resolved,2023-04-02,18,26.5,48,0,0,1,4.8,0,2023,4,2,-21.5,Within 48hrs,Afternoon (12-18),Excellent,1
TKT000011,CUST04407,AGT026,Outbound Call,Loan Query,Medium,Resolved,2023-10-31,17,18.3,24,0,0,0,4.3,0,2023,10,4,-5.7,Within 24hrs,Afternoon (12-18),Excellent,1
TKT000012,CUST03106,AGT039,Social Media,Fraud Alert,Critical,Resolved,2024-07-26,20,5.0,2,1,0,1,3.5,1,2024,7,3,3.0,Within 8hrs,Evening (18-24),Good,1
